# dari http://www.geocities.com/CapeCanaveral/1999/, last mod 1995-11-29
# "You can download English-Indonesian dictionary (323k) that I made. Use WINZIP.EXE to unpack the file. I use dbf file (dBase III+). It has over that 17,000 words. This dictionary is designed to help us (Indonesian) reading English literatures, so I omit simple words that everybody usually knows. You may modify it to meet your needs. It's for free. It's for end user only, not commercial. You can distribute this file to everybody who needs it."
"ENGLISH,C,20"	"INDONESIA,C,50"
"idyll"	"gambaran peristiwa dgn sajak/pemandangan"
"idyllic"	"sangat indah/menarik"
"idler"	"lebih idle,pemalas,penganggur"
"idlest"	"paling idle"
"idle"	"tdk dijlnkan/dipakai/berguna,malas,menganggur"
"idleness"	"kemalasan"
"idol"	"pujaan,dewa,berhala"
"idolater"	"pemuja berhala"
"idolatrous"	"berkenaan dgn pemujaan berhala"
"idolatry"	"pemujaan berhala"
"idolize"	"memuja,sangat mengagumi/mencintai"
"ignominious"	"menjijikkan,mengaibkan,memalukan,menghinakan"
"ignomity"	"penhinaan umum,kelakuan tdk senonoh"
"ignorant"	"tdk tahu/pengalaman/menyadari"
"ignorance"	"ketdktahuan,kebodohan,ketdksadaran"
"ignoramus"	"org yg tdk tahu/bodoh/tdk menyadari"
"im-"	"tdk,lawan"
"illustrious"	"terkenal,terkemuka,agung"
"illuminate"	"menerangi,menyinari,menghiasi"
"illumination"	"penerangan"
"illumine"	"menerangi,menyinari"
"illusion"	"angan2,maya,keyakinan yg salah,pendpt keliru"
"illusive"	"khayalan,ditimbulkan oleh angan2"
"illusory"	"khayalan,ditimbulkan oleh angan2"
"illustrate"	"menghiasi/menerangkan dgn gambar/contoh"
"ill"	"buruk,kemalangan,kesusahan,kesukaran"
"ill at easy"	"tdk tenang,malu2,gelisah"
"ill-bred"	"tdk tahu adat,kurang ajar,kasar"
"ill-fated"	"malang,celaka,bernasib buruk"
"ill-favoured"	"kurang menarik,buruk,jelek"
"ill-gotten"	"diperoleh dgn jln tdk halal"
"ill-natured"	"pemarah"
"ill-treat"	"menganiaya,memperlakukan dgn buruk"
"ill-use"	"menganiaya,memperlakukan dgn buruk"
"illness"	"kead sakit,penyakit"
"ice"	"break the ~:mjdkan lebih ramah,memulai sesuatu -"
"ice"	"break the ~:dgn baik"
"iceberg"	"gunung es"
"ice-bound"	"tdk tertutup es"
"ice-free"	"tertutup es"
"ice-field"	"lapangan es (yg menutupi laut)"
"ice-pack"	"lapangan es (yg menutupi laut)"
"icicle"	"es yg tjd krn tetesan air yg membeku"
"icing"	"lap es pd sayap pesawat,lap camp gula mentega pd-"
"icing"	"kue"
"icy"	"dingin sekali,tdk ramah,penuh es"
"icily"	"dgn dinginnya"
"icier"	"lebih dingin"
"iciest"	"paling dingin"
"image"	"patung,bayangan,citra,ibarat,mirip,serupa"
"imagery"	"arca,penggunaan ibarat dlm tulisan"
"imagine"	"membayangkan,menganggap,berpendpt"
"imminent"	"(bahaya) mungkin segera tjd"
"imminence"	"hal dekat/hampir"
"immortalize"	"mengabadikan,mengekalkan"
"imperative"	"penting,sangat mendesak,hsr dipatuhi,terpaksa di-"
"imperative"	"kerjakan,diberikan dgn kekuasaan,suruhan"
"imperial"	"kekaisaran,bersifat memerintah,ditetapkan UU Inggr"
"imperial trade"	"perdagangan kerajaan"
"imperialism"	"paham menjajah bgs lain"
"imperialist"	"penjajah"
"impersonal"	"tdk terpengaruh oleh perasaan pribadi,adil,bersi-"
"impersonal"	"fat umum,kata kerja sesudah 'it'"
"impertinent"	"tdk menghormati/sopan,kurang ajar,tdk berhub dgn-"
"impertinent"	"pokok persoalan"
"impertinence"	"hal tdk sopan,kekurangajaran"
"impersonate"	"berperan/menyamar/mewujudkan/menjelma sbg"
"impervious"	"tahan air,tdk tertembus/goyah/dipengaruhi"
"impetuous"	"berburu nafsu,terburu2"
"impetuosity"	"kegiatan & kecepatan,hal terburu nafsu"
"impress"	"mencapkan,mencetakkan,menerakan,mempengaruhi,me-"
"impress"	"ngesankan"
"impressionable"	"mudah terpengaruh"
"impressive"	"mengesankan,mengagumkan"
"imprint"	"mencetak,mencap,membekas,tertanam"
"impulse"	"dorongan,hasrat/keinginan mendadak"
"impulsive"	"menuruti gerak hati"
"impute"	"menyalahkan,menuduhkan,menghubkan"
"imputation"	"tuduhan,hal mempersalahkan"
"iron"	"besi,setrika,rantai,belenggu"
"iron is hot"	"menggunakan kesempatan baik"
"irons in the fire"	"persoalan"
"ironmonger"	"penjual/toko besi"
"ironmongery"	"penjualan barang2 dr besi"
"iron-mould"	"noda krn karat besi/tinta"
"ironical"	"ironis"
"irritate"	"memarahkan,menjengkelkan,menyebabkan gatal,menya-"
"irritate"	"kitkan,meradang"
"irritable"	"lekas marah,pemarah"
"irritant"	"menjengkelkan,menggatalkan"
"irritation"	"kejengkelan,gangguan tubuh,gatal2"
"issue"	"keluar,menerbitkan,membagikan,akibat,hasil,pokok-"
"issue"	"persoalan,mengeluarkan"
"gnat"	"sebangsa nyamuk kecil"
"gnat"	"strain at a ~:ragu2 ttg hal yg tdk seberapa"
"gnaw"	"mengerat,menggigit dgn keras,menyiksa"
"biannual"	"2X sethn"
"bias"	"prasangka"
"bias"	"cut on the ~:menggunting miring/serong,mempenga-"
"bias"	"cut on the ~:ruhi hal yg kurang baik"
"bib"	"celemek makan di dada"
"biblical"	"berkenaan dgn Injil"
"bicentenary"	"ultah ke-200"
"bicker"	"berselisih ttg suatu yg tdk penting"
"bibliography"	"kepustakaan"
"bide"	"~ ones time:menunggu kesempatan"
"bier"	"usungan mayat"
"bid"	"menawarkan uang,menawar,menyuruh,mengucapkan"
"bidding"	"menaati,mematuhi"
"bilious"	"=bile"
"bevy"	"kumpulan,rombongan wanita"
"betwixt"	"(di) antara"
"beverage"	"macam minuman"
"bewilder"	"membingungkan,merasa bingung"
"bewilderment"	"kebingungan"
"bewail"	"menangisi,meratapi,mengeluh"
"bevel"	"lereng,melandaikan,memiringkan"
"bewitch"	"mempesona,menyihir"
"beware"	"waspada,awas"
"better"	"org yg suka bertaruh"
"betimes"	"pagi2,masih awal,blm wktnya"
"bestir"	"giat,menyibukkan diri"
"bet"	"bertaruh"
"betake"	"pergi ke,mengerjakan sesuatu"
"betrothal"	"pertunangan"
"betrothed"	"tunangan"
"bestial"	"bengis,spt hewan,kejam,jahat"
"besought"	"=beseech"
"besiege"	"mengepung,membanjiri dgn"
"betray"	"mengkhianati,membocorkan rahasia,memperlihatkan"
"betrayal"	"pengkhianatan,pembocoran rahasia"
"beseech"	"memohon,mendesak"
"bequeath"	"mewariskan,menurunkan,mewasiatkan"
"bequest"	"hal mewariskan,warisan"
"benighted"	"dlm kegelapan/kejahilan,terblk,kemalaman"
"benediction"	"doa selamat,berkah"
"benefaction"	"kebajikan,amal,derma"
"benefactor"	"penderma,dermawan,org bajik"
"begrudge"	"=grudge"
"behalf"	"atas nama"
"behave"	"tertindak,berkelakuan"
"behaviour"	"kelakuan,tindak tanduk,tingkah laku"
"behest"	"perintah"
"behold"	"memperhatikan,melihat (suatu yg aneh)"
"beholden"	"berterima kasih,berhutang budi"
"belch"	"bersendawa,mengeluarkan udara dgn kuat,nggrek"
"beguile"	"membohongi,memperdayakan,menipu,mengasyikkan,mem-"
"beguile"	"pesonakan,menyebabkan wkt berjln dgn menyenangkan"
"bereft of"	"kehilangan"
"bereft of reason"	"gila,hilang ingatan"
"bereaved"	"sedih krn kehilangan (kematian)"
"bereavement"	"kehilangan,kematian,kemalangan"
"benevolent"	"baik hati,murah hati,suka menolong"
"benevolently"	"dgn baik/murah hati"
"benevolence"	"kebajikan,kebaikan/kemurahan hati"
"beneficent"	"baik/murah hati"
"beneficence"	"amal,kebaikan/kemurahan hati,kebajikan"
"beneficial"	"berguna,berfaedah,bermanfaat"
"beneficiary"	"yg berhak menerima warisan,waris"
"beget"	"memperanakkan,menyebabkan,mengakibatkan"
"bear"	"beruang"
"great bear"	"bintang biduk"
"beard"	"jambang,janggut,jenggot"
"beast"	"hewan,keji,hina,kurang menyenangkan"
"beak"	"paruh"
"beadle"	"pegawai gereja yg membantu pendeta"
"be-"	"seluruhnya,di mana2"
"bead"	"manik2,tetes"
"beady"	"kecil & bercahaya,jeli"
"beaker"	"beker glass (kimia)"
"bawl"	"memekik,berteriak"
"bay"	"teluk,bag dinding di antara 2 pilar,menyalak"
"bay"	"at ~:dipaksa berbalik & menyerang"
"bay"	"hold at ~:menahan penyerang"
"bay"	"keep at ~:menahan penyerang"
"battalion"	"batalyon (+/- 100 tentara)"
"batman"	"pembantu seorg opsir"
"baton"	"tongkat senjata polisi,tongkat pemimpin orkes"
"bathos"	"peralihan tiba2 (dr yg mengharukan ke yg tdk pen-"
"bathos"	"ting)"
"bastard"	"anak haram"
"bassoon"	"alat musik tiup bass"
"bask"	"berjemur"
"baste"	"melumasi,meminyaki,mengolesi"
"bastion"	"dinding pertahanan benteng (5 sisi)"
"bated"	"tertahan"
"bashful"	"malu,tersipu2"
"barrow"	"gerobak dorong roda 2,timbunan tanah pd makam kuno"
"bark"	"kulit pohon,salak anjing"
"bark barque"	"kapal (layar dgn 3/4 tiang)"
"barley"	"semacam rumput bijinya utk membuat bir"
"barn"	"lumbung"
"barnacle"	"hewan laut yg suka melekat (siput)"
"barred"	"=bar"
"baronet"	"bangsawan bukan keturunan bangsawan"
"baroque"	"gaya seni abad 16,banyak ukiran"
"balsam"	"balsem,semacam tanaman yg tumbuh di kebun"
"ballast"	"pemberat utk menjaga keseimbangan"
"bangle"	"gelang kaki/tangan dr logam"
"bail"	"salah 1 kayu silang yg dipasang di atas tunggak -"
"bail"	"pd permainan kriket,menimba air"
"bailiff"	"juru sita,pegawai pengadilan,pengurus milik tuan-"
"bailiff"	"tanah"
"bag"	"kebesaran,longgar"
"baggy"	"longgar,spt karung"
"bagpipes"	"alat musik Skotlandia"
"badger"	"mengganggu,menggoda,menyusahkan,hewan tanah kecil-"
"badger"	"berwarna kelabu"
"biennial"	"berlangsung 2 thn,2 thn 1X,pd thn ke-2"
"bigamy"	"punya 2 istri/suami"
"bigamous"	"perkawinan dgn 2 istri/suami"
"bigamist"	"org yg beristri/bersuami 2"
"bigoted"	"fanatik,picik,ketegaran hati"
"bigot"	"tegar hati,fanatik"
"bigotry"	"ketegaran hati,kefanatikan"
"bilge"	"perut kapal"
"bile"	"air empedu,pemarah"
"bilious"	"disebabkan oleh terlalu banyak air empedu"
"bill"	"paruh burung,bon,surat selebaran,RUU,uang kertas"
"bill & coo"	"mendekatkan 2 paruh,berpacaran"
"Bill of Exchange"	"semacam cek/giro bilyet"
"bill-poster"	"org yg menempelkan surat selebaran"
"bill-sticker"	"org yg menempelkan surat selebaran"
"billet"	"wisma prajurit (swasta)"
"bind"	"mengikatkan,melilitkan,membalut,melapis,menjilid,"
"bind"	"memejalkan,menjamin,berjanji"
"binder"	"alat utk menjiliid,penjilid"
"binding"	"jilid/kulit buku"
"bit"	"potongan yg sangat kecil,kekang pd mulut kuda"
"bit by bit"	"sedikit demi sedikit"
"bit"	"bag yg membor/memotong pd alat2 tertentu"
"bite"	"menggigit,menyengat,melubangi,merusak,menjepit,-"
"bite"	"menyebabkan jari kaku kedinginan,makanan segigitan"
"bite"	"luka krn gigitan"
"bitter"	"pahit,getir,menyedihkan,iri,penuh kemarahan"
"bitterly"	"dgn sengit/sedih"
"bitterness"	"kepahitan,kegetiran,kesedihan,kedengkian"
"byre"	"kandang sapi"
"by-"	"kurang penting"
"by-road"	"jln simpangan/kecil"
"by-path"	"jln simpangan/kecil"
"by-products"	"hasil tambang"
"bygone"	"dahulu,yg lalu"
"by-stander"	"seorg yg berdiri dekat & melihat"
"bye-law"	"peraturan yg dibuat oleh penguasa setempat"
"by-election"	"pemilihan umum mendadak"
"byword"	"contoh buruk,buah bibir"
"celibacy"	"bujang"
"celibate"	"membujang selamanya"
"cellar"	"gudang (bawah tanah utk menyimpan anggur/batubara)"
"cell"	"pekat,bilik kecil,sel,baterai"
"cellular"	"tdr dr sel2,berpetak2,kain yg jarang tenunannya"
"cellophane"	"kertas tipis,tembus cahaya,utk pembungkus makanan"
"celluloid"	"bahan plastik dr selulose"
"cellulose"	"sutera buatan,zat utama tanaman"
"cement"	"menyatukan,menggabungkan"
"cenotaph"	"tugu peringatan utk org yg dimakamkan di tmpt lain"
"censer"	"tempat membakar kemenyan,dupa"
"censor"	"sensor"
"censorship"	"penyensoran"
"censorious"	"mencari2 kesalahan"
"censure"	"mengritik,tdk setuju,mencela,mengecam"
"centenarian"	"berumur >100 thn"
"centenary"	"ultah 100 thn"
"centennial"	"ultah 100 thn"
"centigrade"	"derajat Celcius"
"centrifugal"	"cenderung menjauhi pusat"
"centripetal"	"cenderung mendekati pusat"
"centurion"	"pemimpin pasukan (Romawi) +/- 100 org"
"cerebral"	"berkenaan dgn otak"
"certify"	"menetapkan dgn resmi,menyatakan kebenaran"
"certified insanne"	"dinyatakan gila"
"cession"	"penyerahan,sesuatu yg diserahkan"
"certificated"	"berijazah"
"certain"	"tertentu,sedikit,agak,pasti"
"ceremony"	"upacara,adat istiadat,sopan santun"
"ceremony"	"on ~:sangat memperhatikan sopan santun"
"ceremonial"	"upacara tertentu,keresmian,resmi"
"ceremonious"	"berkenaan dgn adat-istiadat/hal2 resmi"
"circle"	"gol,kalangan,kelompok,lingkungan,peredaran"
"circuit"	"perjlnan keliling,jln arus listrik,gereja Metodis-"
"circuit"	"yg saling tukar pendeta"
"circuitous"	"tdk langsung,berputar2,berbelit2"
"circular"	"berbentuk lingkaran,keliling,surat edaran"
"circulation"	"peredaran,oplah majalah"
"circularize"	"mengedarkan,mengirimkan surat edaran"
"circulate"	"beredar,mengedarkan"
"circumflex"	"tanda ^ di atas huruf bhs Perancis"
"circumstance"	"hal/kead sebenarnya,kenyataan,persoalan,perkara"
"circumstance"	"under/in the ~s:dlm kead dmkn,kalau dmkn halnya"
"circumstance"	"under/in no ~s:jangan sekali2"
"circumstatial"	"terperinci,bdsrk kenyataan yg ada"
"circus"	"tempat pertemuan bbrp jln"
"cite"	"mengutip,memetik,menyebut nama"
"citation"	"kutipan,petikan,penyebutan"
"citizen"	"penduduk kota,warga negara"
"citizenship"	"kewarganegaraan,hak/kwjb warga neg"
"civic"	"berkenaan dgn kepentingan penduduk kota"
"civic duties"	"tgjwb penduduk"
"civic centre"	"pusat perkantoran"
"civics"	"pelajaran pemerintahan"
"civilize"	"mjdkan beradab"
"civilitation"	"peradaban,neg yg beradab"
"civil"	"masy,sipil,sopan"
"civil law"	"hukum perdata"
"civil war"	"perang saudara"
"civil marriage"	"perkawinan menurut hukum bkn agama"
"Civil Service"	"perangkat pemerintahan bkn ABRI"
"civility"	"kesopanan,peradaban"
"civilly"	"dgn sopan"
"civilian"	"org sipil/preman"
"gear"	"perkakas utk tuj tertentu,gir"
"gazette"	"lembaran berita pemerintah (pengangkatan/jabatan)"
"gaze"	"memandang lama dgn penuh perhatian"
"gem"	"batu permata,perhiasan,berharga krn indah/berguna"
"genealogy"	"asal-usul,silsilah,ilmu ttg hewan/tumb dr bentuk-"
"genealogy"	"sblmnya"
"genealogist"	"ahli silsilah"
"genealogical"	"berkenaan dgn silsilah"
"general"	"tdk terperinci,umum,jenderal"
"generalissimo"	"pang5 angkatan bersenjata"
"generality"	"peraturan/hal umum"
"generalize"	"menyamaratakan,memberi pernyataan/kesimpulan umum"
"generalization"	"penyamarataan"
"generally"	"lazimnya,pd umumnya"
"generate"	"mengadakan,mengeluarkan,membangkitkan,menimbulkan"
"generous"	"dermawan,berlimpah2"
"generosity"	"hal berlimpah2,hal dermawan"
"genial"	"ramah,baik hati,suka bergaul,enak,baik utk pertum-"
"genial"	"buhan"
"genially"	"dgn baik hati/ramah"
"geniality"	"sifat ramah/baik hati"
"genteel"	"sopan & baik budi bhsnya,meniru gaya org terkemuka"
"gentility"	"tingkah laku/budi bhs yg baik & sopan"
"gentle"	"baik hati,ramah,lemah lembut,tdk curam,terhormat,"
"gentle"	"berkedudukan baik"
"gentleman"	"pria,(dulu) org yg tdk usah mencari nafkah"
"gentlemanly"	"sikap sopan & baik"
"gentlewoman"	"wanita berbudi bhs baik"
"gently"	"dgn sopan/budi bhs yg baik"
"genuine"	"asli,tulen,sejati,murni,benar"
"genuinely"	"benar2,betul2"
"genuineness"	"keaslian,ketulenan,kebenaran,kemurnian"
"geranium"	"tanaman berbunga merah/merah jambu/putih"
"germ"	"benih,ttk permulaan,kuman"
"germicide"	"bahan pembasmi kuman"
"germinate"	"bertunas,mula tumbuh"
"germination"	"hal bertunas"
"gerund"	"bentuk -ing form"
"fond of"	"suka akan"
"gesticulate"	"menggerakkan kepala/tangan sambil bicara"
"gesture"	"gerakan tubuh utk menggambarkan pendapat/pikiran"
"ghastly"	"spt mayat,pucat,kurang sehat,mengerikan,menakutkan"
"ghost"	"semangat hidup,roh"
"Holy Ghost"	"Roh Kudus"
"ghost"	"not the ~ of a chance:tdk ada harapan sama sekali"
"get"	"memperoleh,membeli,mndpt,memenangkan,menerima,me-"
"get"	"mahami,menyebabkan,mjd,mendatangkan,menyuruh,pergi"
"get"	"sampai,kena,menderita,mengalami,meminta,membujuk,"
"get about"	"tersebar,bepergian"
"get along"	"maju,dpt menjlnkan/bergaul"
"get at"	"sampai,mencapai,mengetahui,menyuap"
"get away"	"meninggalkan,terhindar"
"get by heart"	"menghafal"
"get in"	"masuk,tiba,dipilih"
"get"	"~ something up:memungut,menagih,mengumpulkan"
"get off"	"mulai,lepas,terhindar"
"get on"	"memulai,maju,meneruskan"
"get on with"	"akrab,bersahabat"
"get round"	"menghindari,mengelakkan,membujuk"
"get through"	"lulus,menyelesaikan,menghabiskan"
"get up to"	"mencapai,sampai,menyusul"
"get up to mischief"	"mengacau"
"get"	"~ something up:mengatur,menyediakan,mengeluarkan"
"get-at-able"	"dpt dicapai/didpt"
"get-up"	"gaya,ragam,pakaian"
"giddy"	"pening,pusing,suka berfoya2,tdk sungguh2"
"giddily"	"dgn pusing/pening"
"giddiness"	"kepeningan"
"giddier"	"lebih pusing"
"giddiest"	"paling pusing"
"giblets"	"hati,rempela unggas sblm dimasak"
"gift"	"kado,bakat,pembawaan,hal/kekuasaan utk memberi"
"gifted"	"berbakat"
"gin"	"minuman keras puutih dr biji2an,mesin pemisah ka-"
"gin"	"pas dgn bijinya,jerat"
"gypsy"	"=gipsy"
"gipsy"	"org dr Asia mengembara di Eropa dgn kerja jualbeli"
"gipsy"	"kuda,meramal,menganyam keranjang"
"gird"	"memakai,mengenakan"
"girdle"	"sabuk,suatu yg mengelilingi/melingkari"
"girth"	"tali pelana,pengikat perut kuda,ukuran keliling"
"gist"	"inti/pokok dr"
"gild"	"melapisi dgn emas,menyepuh,menggilapkan"
"gild the pill"	"membuat suatu mjd menyenangkan & menarik"
"gilt"	"=gilded"
"gilded"	"disepuh,dicat dgn tinta emas"
"give"	"memberi,menghadiahkan,menyerahkan,menyediakan,mem-"
"give"	"perlengkapi"
"give away"	"membuka/membocorkan/mengungkapkan rahasia,mengkhi-"
"give away"	"anati,menyerahkan"
"give in"	"menyerah,mencoba berbuat/mendpt sesuatu"
"give out"	"habis,tdk ada lagi,membagikan,mengumumkan"
"give over"	"berhenti berbuat sesuatu"
"give up"	"meninggalkan,menyerahkan"
"give ground"	"mundur (ABRI)"
"give rise to"	"menyebabkan,menghasilkan"
"give way"	"putus,pecah,roboh"
"give & take"	"berkompromi"
"given"	"disetujui,disepakati,ditentukan"
"given to"	"ketagihan,cenderung pd"
"giver"	"pemberi"
"gladden"	"menyenangkan,menggembirakan"
"glamour"	"keelokan,kecantikan,pesona,daya tarik"
"glamorous"	"cantik,sangat menarik"
"glance"	"memandang sepintas lalu,melihat dgn cepat,berki-"
"glance"	"lauan,bersinar,luput,meleset,tdk kena"
"gland"	"kelenjar"
"sweat glands"	"kelenjat keringat"
"glandular"	"berkenaan dgn kelenjar"
"glare"	"silau,pandangan marah"
"glaring"	"mudah kelihatan,mencolok"
"glass"	"keker,barometer,teropong"
"glass-blower"	"peniup gelas"
"glass-house"	"rumah kaca"
"glassy"	"spt kaca,tdk bersinar,sayu,tertumpu pd"
"glaze"	"memasang/melapisi dgn kaca,tdk bersinar,sayu,la-"
"glaze"	"pisan kaca"
"glazier"	"pemasang kaca jendela"
"glean"	"mengumpulkan sedikit2 (padi yg tercecer wkt panen)"
"gleanings"	"pungutan"
"glee"	"keriangan,kesukacitaan,nyanyian utk koor"
"glleful"	"riang gembira,suka cita"
"glib"	"licin,tdk jujur"
"glide"	"meluncur"
"glimmer"	"(chy) berkedip2"
"glimmer of hope"	"ada harapan"
"glimpse"	"memandang sekilas"
"glisten"	"mengkilap,gilap,berlinang2"
"glitter"	"gemerlapan,kilau,kilap"
"globe-trotter"	"org yg pergi keliling dunia"
"globular"	"berbentuk bola,tdr dr bulatan kecil2"
"globule"	"titik,tetes/bulatan benda cair"
"gloom"	"kekelaman,kesuraman,sedih,putus asa"
"glory"	"kejayaan,kemasyuran,kebesaran,bersyukur kpd Tuhan,"
"glory"	"kebanggaan,kemenangan,keindahan,keagungan,kemegaha"
"glorify"	"memuja,membanggakan"
"glorious"	"jaya,masyur,bsr,megah,agung,menyenangkan"
"gloss"	"menggosok spy mengkilap,kilau"
"gloss over"	"menutup2i & mencoba menerangkan"
"glossy"	"mengkilap,berkilau"
"gloss"	"penjelasan kata2 sukar"
"glossary"	"daftar kata2 sukar"
"glow"	"marak,bercahaya,bersinar,bernyala,berseri,cerah,"
"glow"	"bergelora"
"glow-worm"	"kelemayar"
"glower"	"memandang dng marah/seram"
"glut"	"membanjiri,makan terlalu banyak/lahap,persediaan-"
"glut"	"berlimpah2"
"glutton"	"makan dgn rakus"
"glutton for work"	"selalu mau & bersedia uutk bekerja"
"gluttonous"	"rakus,lahap"
"gluttony"	"kerakusan,kelahapan"
"glycerine"	"cairan pekat manis utk bahan peledak/obat/sabun"
"fear"	"ketakutan,kecemasan,kebimbangan,kekhawatiran,ri-"
"fear"	"siko,kemungkinan,perasaan hormat & takut"
"feast"	"hari raya,pesta perjamuan,kenduri"
"feather"	"bulu,menghiai dgn bulu"
"feather"	"birds of a ~:org yg sejenis,sekelompok"
"feather"	"show the white ~:menunjukkan perasaan takut"
"feather"	"in high ~:riang gembira"
"feather bed"	"tempat tidur berhias bulu unggas"
"feather nest"	"menyenangkan/memperkaya diri"
"fraction"	"bag yg sangat kecil,bil pecahan"
"fracture"	"patah/retak tulang"
"fragile"	"muudah pecah,rapuh"
"fragility"	"hal mudah pecah,kerapuhan"
"fragment"	"pecahan,bagian,penggalan"
"fragmentary"	"tdk lengkap"
"fragrant"	"bau harum,semerbak,wangi"
"fragrance"	"bau harum,semerbak,wangi"
"frail"	"lemah lahir & batin,rapuh"
"frailer"	"lebih frail"
"frailest"	"paling frail"
"frailty"	"kecenderungan utk berbuat salah,kelemahan"
"franchise"	"hak memilih/warga negara,hak yg diberikan pd prshn"
"frankincense"	"pohon dupa yg harum jika dibakar"
"franker"	"lebih frank"
"frankest"	"paling frank"
"frank"	"terus terang,terbuka,jujur"
"frame"	"rangka,badan,tubuh,bingkai,rumah kaca"
"frame of mind"	"kead pikiran"
"frame"	"menyusun,membentuk,merangkaikan"
"framework"	"rangka (mis rangka baja)"
"frantic"	"sangat gelisah,bingung"
"frantically"	"dgn sangat bingung/gelisah"
"fox"	"rubah,musang"
"fox-hound"	"anjing utk berburu rubah"
"fountain"	"mata air,air mancur"
"fauntain-pen"	"pena"
"foundry"	"tempat peleburan logam/kaca/gelas"
"foundling"	"anak pungut"
"four"	"on all ~s:merangkak"
"four-poster"	"tempat tidur berkaki 4"
"four-score"	"80"
"fount"	"mata/sumber air,font,bentuk huruf"
"foster"	"memelihara,mendidik,membesarkan"
"foster-parent"	"org tua angkat"
"foster-father"	"ayah angkat"
"foster-mother"	"ibu angkat"
"foster-brother"	"saudara angkat"
"foster-sister"	"saudara angkat"
"fossil"	"org kolot"
"fossilize"	"mjd(kan) fosil"
"founder"	"karam,tenggelam,jatuh,tersungkur,roboh"
"fortify"	"memperkuat pertahanan,membentengi diri"
"fortification"	"benteng,hal memperkuat"
"fortitude"	"ketabahan,keteguhan,kekuatan"
"fortnight"	"masa 2 minggu"
"fortnightly"	"tiap 2 minggu"
"fortress"	"kota pertahanan,benteng"
"fortuitous"	"tjd scr kebetulan/tdk disengaja"
"forum"	"tempat pertemuan umum,mimbar umum"
"former"	"dahulu,bekas,yg sudah2,mantan"
"formerly"	"dahulu,wkt dulu"
"forgo"	"hidup tanpa,meninggalkan/melepaskan kebiasaan"
"forgetful"	"pelupa"
"fork"	"garpu,cabang,persimpangan"
"forge"	"bengkel pandai besi,tempat membuat tapal kuda/a-"
"forge"	"lat2 pertanian,menempa logam,memalsu,meniru"
"forger"	"pemalsu"
"forgery"	"pemalsuan"
"formidable"	"menakutkan,dahsyat,memerlukan usaha bsr utk menga-"
"formidable"	"tasinya"
"forswear"	"tdk melakukan/memakai lagi,mengingkari sumpah,me-"
"forswear"	"nyatakan sumpah palsu"
"forth"	"keluar,selanjutnya,seterusnya"
"forthcoming"	"akan terbit/datang"
"forthright"	"terus terang,jujur,lurus"
"forthwith"	"segera"
"fortunate"	"beruntung,nasib baik"
"fortune-teller"	"juru ramal"
"fortune"	"nasib,jml uang yg bsr,kemakmuran,kekayaan,berhasil"
"forbode"	"mdpt firasat,meramalkan"
"forboding"	"firasat"
"forecast"	"meramalkan"
"forecastle"	"geladak kapal bag depan (tempat makan/tidur)"
"foreign to"	"lain dr,tdk ada hub dgn"
"foremost"	"pertama2,yg terpenting"
"forerunner"	"pelopor,pendahulu,isyarat,tanda,alamat"
"foresee"	"melihat/tahu lebih dulu,meramalkan"
"foreshadow"	"membayangkan/tahu apa yg akan tjd"
"foreshorten"	"menggambar dgn memendekkan grs2nya"
"foresight"	"kemampuan/persiapan utk tahu keperluan mendatang"
"forester"	"penjaga hutan"
"forestry"	"ilmu kehutanan"
"forestall"	"mendahului,merintangi,memintasi"
"forethought"	"pikiran/rencana teliti utk masa dpn"
"foreword"	"prakata,kata pengantar,pendahuluan"
"forfeit"	"hrs bayar/kena denda"
"forfeiture"	"hal kena denda"
"forge ahead"	"maju,tampil ke hadapan dgn susah payah"
"forage"	"makanan ternak,mencari makanan"
"foray"	"serangan tiba2"
"forbear"	"leluhur,nenek moyang,bersabar,menahan diri"
"forbearance"	"kesabaran"
"ford"	"sungai dangkal"
"fore"	"bag dpn,muka"
"fop"	"laki2 pesolek"
"fondle"	"membelai,memegang dgn penuh kasih sayang"
"font"	"tempat air permandian di gereja"
"foodstuffs"	"bahan makanan"
"forbidding"	"keras,menakutkan"
"fraud"	"penipuan,kesalahan"
"fraudulent"	"bersifat menipu"
"fraught with"	"berisi,penuh dgn"
"fray"	"perkelahian,pertandingan,persaingan,tali usang -"
"fray"	"krn banyak dipakai (berjerabai)"
"fraternal"	"spt abang/saudara"
"fraternity"	"persaudaraan,kumpulan org2 yg berminat sama"
"fraternize"	"bergaul/berteman dgn"
"freak"	"pikiran,tindakan,bentuk yg aneh/ajaib"
"freakish"	"cacat,tdk normal,aneh"
"freckle"	"bintik coklat kulit krn sinar mthr"
"freight"	"ongkos pengangkutan"
"freighter"	"kapal barang"
"french window"	"jendala merangkap pintu"
"take french leave"	"berbuat sesuatu tanpa minta izin"
"freezing-point"	"ttk beku"
"fret"	"menjengkelkan,mengesalkan,merasa khawatir/cemas,"
"fret"	"mengauskan,mengukir,memahat"
"fretful"	"jengkel,kesal,marah2"
"fret-saw"	"gergaji utk mengukir kayu tipis"
"fretwork"	"ukiran,pahatan"
"friar"	"anggota gereja Kristen yg bersumpah utk hidup dlm-"
"friar"	"kemiskinan"
"friction"	"pergeseran,perselisihan"
"frieze"	"grs/jalur sgb hiasan dinding bag atas"
