# dari http://www.geocities.com/CapeCanaveral/1999/, last mod 1995-11-29
# "You can download English-Indonesian dictionary (323k) that I made. Use WINZIP.EXE to unpack the file. I use dbf file (dBase III+). It has over that 17,000 words. This dictionary is designed to help us (Indonesian) reading English literatures, so I omit simple words that everybody usually knows. You may modify it to meet your needs. It's for free. It's for end user only, not commercial. You can distribute this file to everybody who needs it."
"ENGLISH,C,20"	"INDONESIA,C,50"
"itinerary"	"rencana perjalanan"
"IOU"	"surat hutang"
"isthmus"	"genting tanah"
"itch"	"gatal"
"islander"	"penduduk pulau"
"isle"	"pulau"
"islet"	"pulau kecil"
"itinerant"	"berkeliling"
"irate"	"marah"
"ire"	"kemarahan"
"irascible"	"cepat marah"
"iris"	"selaput pelangi,bunga yg daunnya panjang & runcing"
"irk"	"mengganggu,menjengkelkan"
"irksome"	"mengganggu,menjengkelkan"
"invective"	"caci maki"
"inveigh against"	"menyerang dgn kata2"
"inveigle"	"mmebujuk spy berbuat sesuatu"
"inure"	"membiasakan"
"intrepid"	"gagah berani,tdk punya perasaan takut"
"intrinsic"	"berada di dlm,dasar"
"intrude"	"masuk tanpa diundang,mengganggu"
"intrusion"	"gangguan,masuk tanpa diundang"
"intuition"	"daya batin yg dpt mengetahui sesuatu tanpa berpik"
"intuition"	"ir/belajar"
"inundate"	"membanjiri"
"intimidate"	"menakut2i,mengancam,menggertak"
"intestine"	"usus"
"interplay"	"kead saling mempengaruhi"
"intersperse"	"menyebar,menaruh di mana2"
"intestate"	"tdk meninggalkan surat wasiat wkt meninggal"
"interchange"	"tukar-menukar"
"intercept"	"menghadang,mencegat,memintas,memotong"
"intact"	"utuh,lengkap"
"intangible"	"yg tdk dpt dipahami"
"integrity"	"sifat jujur & lurus,kead lengkap,komplit"
"intend"	"bermaksud,bertujuan,berniat"
"inter"	"mengubur,menanam"
"insurgent"	"berontak"
"insult"	"caci maki"
"insuperable"	"tdk dpt diatasi"
"indices"	"jamak dr index"
"indigenous"	"pribumi"
"indigo"	"biru tua,nila"
"infantry"	"pasukan jalan kaki"
"indomitable"	"tdk terkalahkan,tdk mau menyerah,keras hati"
"indolent"	"malas"
"vying"	"=vie"
"vulture"	"burung bangkai,burung nasar"
"vulnerable"	"mudah rusak,tdk kebal"
"vulgar"	"tdkk sopan,kasar & ribut"
"voyage"	"berlayar"
"vow"	"sumpah,janji,ikrar"
"void"	"kosong,tanpa,tdk sah/batal/tdk berlaku"
"voile"	"kain voal/tipis utk gaun"
"viva voce"	"scr lisan"
"viz"	"=namely:yaitu"
"vizier"	"perdana menteri,wasir"
"vixen"	"rubah betina"
"waif"	"anak/anjing/kucing terlantar"
"wadi"	"sungai kering di Mesir,wadi"
"sultry"	"pengap,panas & tdk berangin"
"superb"	"hebat,luar biasa"
"suppurate"	"bernanah"
"surcharge"	"bea tambahan"
"surf"	"ombak berbuih yg memecah pantai"
"supine"	"terlentang,malas"
"pap"	"bubur bayi"
"papacy"	"pemerintahan Paus"
"papal"	"berkenaan dgn Paus"
"papist"	"kata ejekan utk penganut agama Katolik"
"papyrus"	"pohon lontar"
